id,datenstand,resolution
2549_1111,"2020","25"
2550_1109,"2020","25"
2550_1110,"2020","25"
2550_1111,"2020","25"
2550_1112,"2020","25"
2550_1113,"2020","25"
2550_1116,"2020","25"
2550_1117,"2020","25"
2551_1108,"2020","25"
2551_1109,"2020","25"
2551_1110,"2020","25"
2551_1113,"2020","25"
2551_1114,"2020","25"
2551_1115,"2020","25"
2551_1116,"2020","25"
2551_1117,"2020","25"
2551_1118,"2020","25"
2552_1108,"2020","25"
2552_1109,"2020","25"
2552_1114,"2020","25"
2552_1115,"2020","25"
2552_1116,"2020","25"
2552_1118,"2020","25"
2552_1119,"2020","25"
2552_1120,"2020","25"
2553_1108,"2020","25"
2553_1109,"2020","25"
2553_1110,"2020","25"
2553_1116,"2020","25"
2553_1117,"2020","25"
2554_1108,"2020","25"
2554_1109,"2020","25"
2554_1110,"2020","25"
2554_1116,"2020","25"
2554_1117,"2020","25"
2555_1108,"2020","25"
2555_1109,"2020","25"
2555_1110,"2020","25"
2556_1099,"2020","25"
2556_1100,"2020","25"
2556_1101,"2020","25"
2556_1102,"2020","25"
2556_1104,"2020","25"
2556_1105,"2020","25"
2556_1108,"2020","25"
2556_1109,"2020","25"
2556_1110,"2020","25"
2557_1099,"2020","25"
2557_1100,"2020","25"
2557_1101,"2020","25"
2557_1102,"2020","25"
2557_1103,"2020","25"
2557_1104,"2020","25"
2557_1105,"2020","25"
2557_1106,"2020","25"
2557_1107,"2020","25"
2557_1108,"2020","25"
2557_1109,"2020","25"
2557_1110,"2020","25"
2557_1111,"2020","25"
2557_1112,"2020","25"
2557_1122,"2020","25"
2557_1123,"2020","25"
2558_1099,"2020","25"
2558_1100,"2020","25"
2558_1101,"2020","25"
2558_1102,"2020","25"
2558_1103,"2020","25"
2558_1104,"2020","25"
2558_1105,"2020","25"
2558_1106,"2020","25"
2558_1107,"2020","25"
2558_1108,"2020","25"
2558_1109,"2020","25"
2558_1110,"2020","25"
2558_1111,"2020","25"
2558_1112,"2020","25"
2558_1113,"2020","25"
2559_1100,"2020","25"
2559_1101,"2020","25"
2559_1102,"2020","25"
2559_1103,"2020","25"
2559_1104,"2020","25"
2559_1105,"2020","25"
2559_1106,"2020","25"
2559_1107,"2020","25"
2559_1108,"2020","25"
2559_1109,"2020","25"
2559_1110,"2020","25"
2559_1111,"2020","25"
2559_1112,"2020","25"
2559_1113,"2020","25"
2559_1114,"2020","25"
2559_1115,"2020","25"
2560_1101,"2020","25"
2560_1102,"2020","25"
2560_1103,"2020","25"
2560_1104,"2020","25"
2560_1105,"2020","25"
2560_1106,"2020","25"
2560_1107,"2020","25"
2560_1108,"2020","25"
2560_1109,"2020","25"
2560_1110,"2020","25"
2560_1111,"2020","25"
2560_1112,"2020","25"
2560_1113,"2020","25"
2560_1114,"2020","25"
2560_1116,"2020","25"
2561_1101,"2020","25"
2561_1102,"2020","25"
2561_1103,"2020","25"
2561_1104,"2020","25"
2561_1105,"2020","25"
2561_1106,"2020","25"
2561_1107,"2020","25"
2561_1108,"2020","25"
2561_1109,"2020","25"
2561_1110,"2020","25"
2561_1111,"2020","25"
2561_1112,"2020","25"
2561_1113,"2020","25"
2561_1114,"2020","25"
2561_1115,"2020","25"
2561_1116,"2020","25"
2561_1117,"2020","25"
2562_1098,"2020","25"
2562_1102,"2020","25"
2562_1103,"2020","25"
